종목코드,종목명,배당수익률,주당배당금,기준일
031430,신세계인터내셔날,3.15,400,20241023
005750,대림B&Co,3.15,110,20241023
017890,한국알콜,3.14,285,20241023
267980,매일유업,3.14,1200,20241023
002380,KCC,3.13,8000,20241023
005820,원림,3.13,500,20241023
181710,NHN,3.11,500,20241023
094820,일진파워,3.11,330,20241023
272550,삼양패키징,3.1,500,20241023
026890,스틱인베스트먼트,3.1,250,20241023
002320,한진,3.09,600,20241023
264660,씨앤지하이테크,3.09,400,20241023
058730,다스코,3.07,100,20241023
014570,고려제약,3.07,150,20241023
001540,안국약품,3.07,220,20241023
005680,삼영전자,3.07,300,20241023
339770,교촌에프앤비,3.06,300,20241023
023450,동남합성,3.06,1000,20241023
007700,F&F홀딩스,3.05,400,20241023
039420,케이엘넷,3.05,80,20241023
002200,한국수출포장,3.04,80,20241023
095610,테스,3.04,500,20241023
126700,하이비젼시스템,3.03,500,20241023
160980,싸이맥스,3.03,350,20241023
28513K,SK케미칼우,3.02,700,20241023
039340,한국경제TV,3.02,160,20241023
021320,KCC건설,3.02,130,20241023
073110,엘엠에스,3.02,200,20241023
014825,동원시스템즈우,3.01,650,20241023
036560,영풍정밀,3.0,600,20241023
143240,사람인,3.0,500,20241023
016380,KG스틸,2.99,200,20241023
005710,대원산업,2.99,175,20241023
001390,KG케미칼,2.98,120,20241023
026940,부국철강,2.98,75,20241023
264900,크라운제과,2.98,250,20241023
012620,원일특강,2.97,220,20241023
003310,대주산업,2.97,42,20241023
013580,계룡건설,2.97,400,20241023
003650,미창석유,2.96,2800,20241023
064480,브리지텍,2.94,150,20241023
023910,대한약품,2.94,750,20241023
03481K,해성산업1우,2.94,230,20241023
002920,유성기업,2.93,60,20241023
007210,벽산,2.93,60,20241023
014580,태경비케이,2.93,130,20241023
005490,POSCO홀딩스,2.92,10000,20241023
003480,한진중공업홀딩스,2.92,100,20241023
014280,금강공업,2.91,120,20241023
010950,S-Oil,2.9,1700,20241023
214180,헥토이노베이션,2.89,360,20241023
108320,LX세미콘,2.88,1800,20241023
080520,오디텍,2.88,100,20241023
000430,대원강업,2.88,110,20241023
067170,오텍,2.88,100,20241023
005300,롯데칠성,2.87,3400,20241023
005935,삼성전자우,2.87,1445,20241023
032560,황금에스티,2.86,150,20241023
111380,동인기연,2.86,560,20241023
001040,CJ,2.85,3000,20241023
282720,금양그린파워,2.85,300,20241023
267850,아시아나IDT,2.85,500,20241023
048430,유라테크,2.84,190,20241023
021650,한국큐빅,2.83,70,20241023
353810,이지바이오,2.82,100,20241023
069960,현대백화점,2.82,1300,20241023
000910,유니온,2.81,125,20241023
092730,네오팜,2.81,750,20241023
131090,시큐브,2.8,25,20241023
453340,현대그린푸드,2.8,325,20241023
383220,F&F,2.8,1700,20241023
053690,한미글로벌,2.8,400,20241023
115500,케이씨에스,2.79,180,20241023
138490,코오롱ENP,2.79,160,20241023
262260,에이프로,2.79,200,20241023
366030,공구우먼,2.79,120,20241023
086670,비엠티,2.79,250,20241023
012630,HDC,2.77,300,20241023
419120,산돌,2.76,180,20241023
005720,넥센,2.76,125,20241023
060250,NHN KCP,2.75,200,20241023
010100,한국무브넥스,2.75,100,20241023
054800,아이디스홀딩스,2.75,250,20241023
054050,농우바이오,2.75,200,20241023
003075,코오롱글로벌우,2.74,450,20241023
017900,광전자,2.73,50,20241023
081660,휠라홀딩스,2.73,1090,20241023
004170,신세계,2.72,4000,20241023
088790,진도,2.72,50,20241023
000880,한화,2.72,750,20241023
068930,디지털대성,2.71,200,20241023
038010,제일테크노스,2.71,180,20241023
006200,한국전자홀딩스,2.71,20,20241023
002795,아모레G우,2.71,250,20241023
004780,대륙제관,2.7,110,20241023
005850,에스엘,2.68,900,20241023
053260,금강철강,2.68,130,20241023
039830,오로라,2.68,150,20241023
117580,대성에너지,2.67,250,20241023
089150,케이씨티,2.67,60,20241023
013520,화승코퍼레이션,2.67,50,20241023
122310,제노레이,2.65,160,20241023
